BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	2.36304713633784E-10	1E10	2E9	1E-30	1.63775373857072E-11	1E10	1E-30	1E10	0.499328896962653	1.35686989844297E-08	1E10	124308.959130067	4.06288567449669E-08	1E10	3195.23224308311	3.47326537982593E-08	1E10	298.196423290253	2.542231285187E-08	1E10	41.0020293833268	1.43574403430948E-08	1E10	6.3085802894705	8.21916445784313E-09	1E10	1.16115891896428	4.09280968876413E-09	1E10	0.650719766222537	1.52346051414116E-09	1E10	0.479289058939727	4.99675087449464E-12	2.72352353027291E-10	16.9572453765514	4.88387976643979E-13	3.05530003597079E-10	21.8451637542928	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
2	2.36304713633784E-10	1E10	2E9	1E-30	1.63775373857072E-11	1E10	1E-30	1E10	0.499328896962653	1.35686989844297E-08	1E10	124308.959130067	4.06288567449669E-08	1E10	3195.23224308311	3.47326537982593E-08	1E10	298.196423290253	2.542231285187E-08	1E10	41.0020293833268	1.43574403430948E-08	1E10	6.3085802894705	8.21916445784313E-09	1E10	1.16115891896428	4.09280968876413E-09	1E10	0.650719766222537	1.52346051414116E-09	1E10	0.479289058939727	4.99675087449464E-12	2.72352353027291E-10	16.9572453765514	4.88387976643979E-13	3.05530003597079E-10	21.8451637542928	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
3	4.78878205200772E-10	1E10	2E9	1E-30	7.60019788274205E-11	1E10	1E-30	1E10	0.332243423127642	3.26524622122451E-08	1E10	73669.2182847174	8.73831260641818E-08	1E10	2496.23841031198	7.08567189192058E-08	1E10	314.257796863842	5.62347190110639E-08	1E10	39.2494469630996	3.38010972601161E-08	1E10	5.96460826451196	1.19964948825104E-08	1E10	1.15797642890516	3.26773151715877E-09	1E10	0.369596284660844	1E-30	1.36853592457454E-10	5.12029952974886	1.56274143127054E-09	1.18639065235263E-11	0.175144578035269	6.66500588353677E-10	1.08362455637248E-11	0.24248021064478	5.12897401291576E-12	1.45698804559203E-10	13.2049466656164	4.14406830578115E-12	6.58844744681785E-11	21.4359049150134	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
4	4.78878205200772E-10	1E10	2E9	1E-30	7.60019788274205E-11	1E10	1E-30	1E10	0.332243423127642	3.26524622122451E-08	1E10	73669.2182847174	8.73831260641818E-08	1E10	2496.23841031198	7.08567189192058E-08	1E10	314.257796863842	5.62347190110639E-08	1E10	39.2494469630996	3.38010972601161E-08	1E10	5.96460826451196	1.19964948825104E-08	1E10	1.15797642890516	3.26773151715877E-09	1E10	0.369596284660844	1E-30	1.36853592457454E-10	5.12029952974886	1.56274143127054E-09	1.18639065235263E-11	0.175144578035269	6.66500588353677E-10	1.08362455637248E-11	0.24248021064478	5.12897401291576E-12	1.45698804559203E-10	13.2049466656164	4.14406830578115E-12	6.58844744681785E-11	21.4359049150134	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
5	4.87201552629742E-10	1E10	2E9	1E-30	1.05193573104726E-10	1E10	1E-30	1E10	0.350310302466754	3.51461098965667E-08	1E10	35120.0778278585	1.01240588280053E-07	1E10	1398.15548136674	8.78715369960273E-08	1E10	184.312788486128	7.02744179896915E-08	1E10	34.5719375599452	4.14950778501267E-08	1E10	6.35994005033619	1.61721632097358E-08	1E10	1.29567972544486	4.0472553015792E-09	1E10	0.415197709787466	3.03300727852889E-09	1.04727997591706E-11	0.180678102458187	3.72155790006637E-10	3.5062229509105E-11	0.521247283220868	1.47122315428455E-12	3.66178152899875E-10	18.184601518836	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
6	4.87201552629742E-10	1E10	2E9	1E-30	1.05193573104726E-10	1E10	1E-30	1E10	0.350310302466754	3.51461098965667E-08	1E10	35120.0778278585	1.01240588280053E-07	1E10	1398.15548136674	8.78715369960273E-08	1E10	184.312788486128	7.02744179896915E-08	1E10	34.5719375599452	4.14950778501267E-08	1E10	6.35994005033619	1.61721632097358E-08	1E10	1.29567972544486	4.0472553015792E-09	1E10	0.415197709787466	3.03300727852889E-09	1.04727997591706E-11	0.180678102458187	3.72155790006637E-10	3.5062229509105E-11	0.521247283220868	1.47122315428455E-12	3.66178152899875E-10	18.184601518836	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
7	1.05098058903707E-09	1E10	2E9	1E-30	9.15232230623065E-11	1E10	1E-30	1E10	0.269522233834202	1.05469184011311E-07	1E10	21225.9562126954	2.29941088049471E-07	1E10	1113.95401713576	1.63044619972179E-07	1E10	184.870350232598	1.23514749218419E-07	1E10	23.8159145808497	7.58943555062391E-08	1E10	3.36209620180103	5.56209333156452E-08	1E10	0.457698474713548	1.20700866472173E-08	1E10	0.284093342029851	4.84999153624286E-10	3.1773871155813E-11	0.370037365458703	3.71335859454312E-11	1.00692990570875E-10	2.56061968754728	1.69401766929507E-12	3.3867987632494E-10	23.8565538901215	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
8	1.05098058903707E-09	1E10	2E9	1E-30	9.15232230623065E-11	1E10	1E-30	1E10	0.269522233834202	1.05469184011311E-07	1E10	21225.9562126954	2.29941088049471E-07	1E10	1113.95401713576	1.63044619972179E-07	1E10	184.870350232598	1.23514749218419E-07	1E10	23.8159145808497	7.58943555062391E-08	1E10	3.36209620180103	5.56209333156452E-08	1E10	0.457698474713548	1.20700866472173E-08	1E10	0.284093342029851	4.84999153624286E-10	3.1773871155813E-11	0.370037365458703	3.71335859454312E-11	1.00692990570875E-10	2.56061968754728	1.69401766929507E-12	3.3867987632494E-10	23.8565538901215	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
9	1.05098058903707E-09	1E10	2E9	1E-30	9.15232230623065E-11	1E10	1E-30	1E10	0.269522233834202	1.05469184011311E-07	1E10	21225.9562126954	2.29941088049471E-07	1E10	1113.95401713576	1.63044619972179E-07	1E10	184.870350232598	1.23514749218419E-07	1E10	23.8159145808497	7.58943555062391E-08	1E10	3.36209620180103	5.56209333156452E-08	1E10	0.457698474713548	1.20700866472173E-08	1E10	0.284093342029851	4.84999153624286E-10	3.1773871155813E-11	0.370037365458703	3.71335859454312E-11	1.00692990570875E-10	2.56061968754728	1.69401766929507E-12	3.3867987632494E-10	23.8565538901215	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
