BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18	T01	T02	T03
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1E-13	1E10	1E11	1E-30	2.73834280036112E-10	1E10	1E-30	1E10	0.976745642070976	2.52370535608579E-11	1.14707961221731E-12	0.630639954494295	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
2	1E-13	1E10	1E11	1E-30	2.73834280036112E-10	1E10	1E-30	1E10	0.976745642070976	2.52370535608579E-11	1.14707961221731E-12	0.630639954494295	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
3	2E-13	1E10	1E11	1E-30	3.29566936596414E-10	1E10	1E-30	1E10	0.965698448768809	4.52000190899083E-11	1.05545660409078E-12	3.14565803821718	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
4	2E-13	1E10	1E11	1E-30	3.29566936596414E-10	1E10	1E-30	1E10	0.965698448768809	4.52000190899083E-11	1.05545660409078E-12	3.14565803821718	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
5	2E-13	1E10	1E11	1E-30	3.29566936596414E-10	1E10	1E-30	1E10	0.965698448768809	4.52000190899083E-11	1.05545660409078E-12	3.14565803821718	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
6	2E-13	1E10	1E11	1E-30	3.29566936596414E-10	1E10	1E-30	1E10	0.965698448768809	4.52000190899083E-11	1.05545660409078E-12	3.14565803821718	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
7	3E-13	1E10	1E11	1E-30	2.83537563073493E-10	1E10	1E-30	1E10	0.964619543122102	2.28597802272486E-12	2.02566837675991E-11	1E8	1.35691962031652E-11	3.1334652136739E-12	4.17153608907527	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
8	3E-13	1E10	1E11	1E-30	2.83537563073493E-10	1E10	1E-30	1E10	0.964619543122102	2.28597802272486E-12	2.02566837675991E-11	1E8	1.35691962031652E-11	3.1334652136739E-12	4.17153608907527	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
9	3E-13	1E10	1E11	1E-30	2.83537563073493E-10	1E10	1E-30	1E10	0.964619543122102	2.28597802272486E-12	2.02566837675991E-11	1E8	1.35691962031652E-11	3.1334652136739E-12	4.17153608907527	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
10	3E-13	1E10	1E11	1E-30	2.83537563073493E-10	1E10	1E-30	1E10	0.964619543122102	2.28597802272486E-12	2.02566837675991E-11	1E8	1.35691962031652E-11	3.1334652136739E-12	4.17153608907527	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
11	4E-13	1E10	1E11	1E-30	2.22337918643943E-10	1E10	1E-30	1E10	0.944853148349407	1.62003111950581E-11	3.30411871462134E-12	2.36225496373569	4.55457402476355E-13	7.55266436149763E-11	1E8	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
12	4E-13	1E10	1E11	1E-30	2.22337918643943E-10	1E10	1E-30	1E10	0.944853148349407	1.62003111950581E-11	3.30411871462134E-12	2.36225496373569	4.55457402476355E-13	7.55266436149763E-11	1E8	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
13	4E-13	1E10	1E11	1E-30	2.22337918643943E-10	1E10	1E-30	1E10	0.944853148349407	1.62003111950581E-11	3.30411871462134E-12	2.36225496373569	4.55457402476355E-13	7.55266436149763E-11	1E8	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
14	4E-13	1E10	1E11	1E-30	2.22337918643943E-10	1E10	1E-30	1E10	0.944853148349407	1.62003111950581E-11	3.30411871462134E-12	2.36225496373569	4.55457402476355E-13	7.55266436149763E-11	1E8	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
15	5E-13	1E10	1E11	1E-30	1.71430701922236E-10	1E10	1E-30	1E10	0.900872505481293	2.23321577891387E-11	2.34233124798265E-12	1.10641852738809	2.39836207069026E-13	1.1746112549714E-10	1E8	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.05	0.05
16	5E-13	1E10	1E11	1E-30	1.71430701922236E-10	1E10	1E-30	1E10	0.900872505481293	2.23321577891387E-11	2.34233124798265E-12	1.10641852738809	2.39836207069026E-13	1.1746112549714E-10	1E8	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1	-0.1	0.1
