BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1E-12	1E10	1E10	1E-30	3.04E-10	1E10	1E-30	1E10	0.2	1E-30	3.17392635871287E-12	0.791047242704343	4.07045890260602E-12	4.8E-11	900	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
2	1E-12	1E10	1E10	1E-30	3.04E-10	1E10	1E-30	1E10	0.2	1E-30	3.17392635871287E-12	0.791047242704343	4.07045890260602E-12	4.8E-11	900	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
3	1E-12	1E10	1E10	1E-30	3.04E-10	1E10	1E-30	1E10	0.2	1E-30	3.17392635871287E-12	0.791047242704343	4.07045890260602E-12	4.8E-11	900	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
4	1E-12	1E10	1E10	1E-30	3.04E-10	1E10	1E-30	1E10	0.2	1E-30	3.17392635871287E-12	0.791047242704343	4.07045890260602E-12	4.8E-11	900	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
5	1E-12	1E10	1E10	1E-30	3.04E-10	1E10	1E-30	1E10	0.2	1E-30	3.17392635871287E-12	0.791047242704343	4.07045890260602E-12	4.8E-11	900	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
6	1E-12	1E10	1E10	1E-30	3.04E-10	1E10	1E-30	1E10	0.2	1E-30	3.17392635871287E-12	0.791047242704343	4.07045890260602E-12	4.8E-11	900	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
7	1E-12	1E10	1E10	1E-30	3.04E-10	1E10	1E-30	1E10	0.2	1E-30	3.17392635871287E-12	0.791047242704343	4.07045890260602E-12	4.8E-11	900	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
8	1E-12	1E10	1E10	1E-30	3.04E-10	1E10	1E-30	1E10	0.2	1E-30	3.17392635871287E-12	0.791047242704343	4.07045890260602E-12	4.8E-11	900	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
9	1.1E-12	1E10	1E10	1E-30	2.94E-10	1E10	1E-30	1E10	0.175	1E-30	2.74715817555163E-12	0.172609038851243	4.27739005104487E-12	5.80578884445741E-11	1E10	1.17942333104507E-09	2.90384643809108E-13	0.67076938477357	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
10	1.1E-12	1E10	1E10	1E-30	2.94E-10	1E10	1E-30	1E10	0.175	1E-30	2.74715817555163E-12	0.172609038851243	4.27739005104487E-12	5.80578884445741E-11	1E10	1.17942333104507E-09	2.90384643809108E-13	0.67076938477357	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
11	1.1E-12	1E10	1E10	1E-30	2.94E-10	1E10	1E-30	1E10	0.175	1E-30	2.74715817555163E-12	0.172609038851243	4.27739005104487E-12	5.80578884445741E-11	1E10	1.17942333104507E-09	2.90384643809108E-13	0.67076938477357	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
12	1.1E-12	1E10	1E10	1E-30	2.94E-10	1E10	1E-30	1E10	0.175	1E-30	2.74715817555163E-12	0.172609038851243	4.27739005104487E-12	5.80578884445741E-11	1E10	1.17942333104507E-09	2.90384643809108E-13	0.67076938477357	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
13	1.1E-12	1E10	1E10	1E-30	2.94E-10	1E10	1E-30	1E10	0.175	1E-30	2.74715817555163E-12	0.172609038851243	4.27739005104487E-12	5.80578884445741E-11	1E10	1.17942333104507E-09	2.90384643809108E-13	0.67076938477357	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
