BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1.18951233550276E-09	1E10	1E11	1E-30	1.47257320175647E-11	1E10	1E-30	1E10	1.52703014597237E-02	1E-30	4.9251820488045E-11	2.13555755397878E-02	2.49455274730287E-09	2.43423980419558E-11	0.439496869928125	5.99224376011265E-10	2.88466494311852E-11	0.651944952561382	1.29167205087058E-12	5.36465613940008E-10	181.411916567363	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
2	1.22263508484337E-09	1E10	1E11	1E-30	1.04386337343178E-11	1E10	1E-30	1E10	4.5326038999115E-03	1E-30	1.34726315319229E-10	1.28282351408241	1E-30	5.54003593934782E-11	1.63897066877419E-02	2.34533222050818E-09	6.84378921243143E-11	2.22537594261582	1.33853343991408E-09	4.49276233721167E-11	1.58278660705095	3.62717564618656E-09	7.28396190139551E-12	0.399397422338846	2.53108277053696E-09	6.42899326918665E-12	0.388335860337634	1.3619698339053E-12	3.22673152149756E-10	215.703705606752	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
3	1.44713229537092E-09	1E10	1E11	1E-30	1.19531936524165E-11	1E10	1E-30	1E10	1.38540081699161E-02	1E-30	7.49348561263049E-11	1.19984092940671	1E-30	3.81502918142943E-11	1.73215541826378E-02	3.46314185548425E-09	2.57719733060942E-11	0.499347333375074	1.38557947852951E-09	1.89397592426271E-11	0.514339346654375	1.46863346801426E-12	4.61558018799274E-10	586.417404676227	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
4	1.49647814622433E-09	1E10	1E11	1E-30	1.89341536238757E-11	1E10	1E-30	1E10	4.57922459871559E-03	1E-30	1.48103401825498E-10	0.92127778122536	1E-30	6.03322460963645E-11	1.48488341995086E-02	2.44936678457889E-09	9.330967519972E-11	2.26339897568612	1.95363521326119E-09	4.32106941170448E-11	1.59883119450839	5.25073066922354E-09	7.57963904106562E-12	0.404199186960071	2.49838053022544E-09	9.36117439036649E-12	0.39445338087184	1.40279570772394E-12	3.39207747649392E-10	301.11177836787	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
5	1.79982377580543E-09	1E10	1E11	1E-30	6.49688325738772E-12	1E10	1E-30	1E10	1.25175824440249E-02	1E-30	8.27212897293033E-11	0.895482476920338	1E-30	4.33890691443196E-11	1.97001405854503E-02	4.55212699757256E-09	2.87373547490037E-11	0.53543103799143	1.6738400356736E-09	2.37296834726446E-11	0.526311373622421	1.5489830717824E-12	4.17919898591991E-10	250.630216838962	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
6	1.78332696330601E-09	1E10	1E11	1E-30	3.06175035720032E-11	1E10	1E-30	1E10	4.71713103645617E-03	1E-30	1.31764304810295E-10	0.925140466226439	1E-30	5.89079513340911E-11	1.42409043704444E-02	3.29273785839905E-09	9.08149198865714E-11	2.08579295722383	2.54735156885764E-09	4.49793659235471E-11	1.47767779095764	4.38789832059895E-09	1.22788860359915E-11	0.400219235337007	3.03749874563532E-09	1.04408676763615E-11	0.393834434263822	1.61403034319539E-12	4.36753908807407E-10	346.359318795566	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
7	2.18187235293239E-09	1E10	1E11	1E-30	1.20929702271363E-11	1E10	1E-30	1E10	9.5382473317522E-03	1E-30	9.10590400640279E-11	0.580447389791614	1E-30	4.57048964576719E-11	1.16694858520619E-02	4.67340239338542E-09	3.99010916320283E-11	0.616685384341122	2.02248216730137E-09	2.9048331728934E-11	0.601101135314234	1.2100054845439E-12	4.24964236220263E-10	219.508490354962	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
8	2.13673385269779E-09	1E10	1E11	1E-30	5.11852902789978E-11	1E10	1E-30	1E10	4.64196681186983E-03	1E-30	1.82184993377451E-10	0.884957682534687	1E-30	4.69819944896711E-11	1.13578231038048E-02	4.12270345413345E-09	9.56163726437223E-11	2.50706764873782	3.1488544529305E-09	4.79677811159052E-11	1.68855824834194	7.29387520351389E-09	9.96453863687765E-12	0.577414711674952	5.67316391402729E-09	8.08029780340436E-12	0.477258666397823	1.81508966497979E-12	3.4613890189538E-10	299.010084624371	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
9	4.75135479998687E-09	1E10	1E11	1E-30	2.30630817148711E-10	1E10	1E-30	1E10	2.01297206458022E-02	1.2377920827416E-06	1E10	52.5945976030648	1E-30	7.02656086517518E-11	0.373276575234366	1.30329538677122E-08	5.33436206221455E-11	0.823296074586987	5.56711669081693E-09	4.75748570790584E-11	1.04156994489915	1.70754002004586E-08	7.05879360547751E-12	0.184606654299517	7.57079608325846E-09	9.488799636794E-12	0.311096296934751	4.66108252645433E-09	7.00673672348042E-12	0.143180548406862	2.0173322116467E-12	4.35958008489247E-10	7238.51761167126	2.11240614971792E-12	4.16336665923902E-10	500.783066729636	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
