BEGIN DSCRDATA
% INDEX	K01	L01	M01	K02	L02	M02	K03	L03	M03	K04	L04	M04	K05	L05	M05	K06	L06	M06	K07	L07	M07	K08	L08	M08	K09	L09	M09	K10	L10	M10	K11	L11	M11	K12	L12	M12	K13	L13	M13	K14	L14	M14	K15	L15	M15	K16	L16	M16	K17	L17	M17	K18	L18	M18
0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1	1E-11	1E10	1E10	1E-30	8.26693580619828E-11	1E10	1E-30	1E10	0.344446284722053	1.88439593252444E-09	1.34994742484714E-12	6.55613629492297E-02	1.0589608373331E-10	8.74256981896751E-12	3.60956801993758	8.85347417548222E-13	4.87908642997677E-10	256.550591713196	4.54060501876962E-12	7.55681014785839E-11	76.6842910402884	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
2	1E-11	1E10	1E10	1E-30	8.26693580619828E-11	1E10	1E-30	1E10	0.344446284722053	1.88439593252444E-09	1.34994742484714E-12	6.55613629492297E-02	1.0589608373331E-10	8.74256981896751E-12	3.60956801993758	8.85347417548222E-13	4.87908642997677E-10	256.550591713196	4.54060501876962E-12	7.55681014785839E-11	76.6842910402884	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
3	1E-11	1E10	1E10	1E-30	8.26693580619828E-11	1E10	1E-30	1E10	0.344446284722053	1.88439593252444E-09	1.34994742484714E-12	6.55613629492297E-02	1.0589608373331E-10	8.74256981896751E-12	3.60956801993758	8.85347417548222E-13	4.87908642997677E-10	256.550591713196	4.54060501876962E-12	7.55681014785839E-11	76.6842910402884	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
4	1E-11	1E10	1E10	1E-30	6.46401149372556E-11	1E10	1E-30	1E10	0.234100138810515	6.65534382500494E-11	1E10	2807.09684340182	1E-30	3.12354332868112E-11	0.304461290623304	6.87917445871724E-13	5.2528315243422E-10	265.362772583081	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
5	1E-11	1E10	1E10	1E-30	6.46401149372556E-11	1E10	1E-30	1E10	0.234100138810515	6.65534382500494E-11	1E10	2807.09684340182	1E-30	3.12354332868112E-11	0.304461290623304	6.87917445871724E-13	5.2528315243422E-10	265.362772583081	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
6	1E-11	1E10	1E10	1E-30	6.46401149372556E-11	1E10	1E-30	1E10	0.234100138810515	6.65534382500494E-11	1E10	2807.09684340182	1E-30	3.12354332868112E-11	0.304461290623304	6.87917445871724E-13	5.2528315243422E-10	265.362772583081	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
7	1.2E-11	1E10	1E10	1E-30	9.21935653359652E-12	1E10	1E-30	1E10	0.21740938810451	1.6574627119156E-09	1.67886297097866E-12	8.75742375339015E-02	9.30602119081344E-11	1.36096272462766E-11	4.82010051169199	1.33853569843035E-12	4.50568695547364E-10	298.669017590653	2.82980110639858E-12	1.45442823748373E-10	106.129018816499	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
8	1.2E-11	1E10	1E10	1E-30	9.21935653359652E-12	1E10	1E-30	1E10	0.21740938810451	1.6574627119156E-09	1.67886297097866E-12	8.75742375339015E-02	9.30602119081344E-11	1.36096272462766E-11	4.82010051169199	1.33853569843035E-12	4.50568695547364E-10	298.669017590653	2.82980110639858E-12	1.45442823748373E-10	106.129018816499	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
9	1.2E-11	1E10	1E10	1E-30	9.21935653359652E-12	1E10	1E-30	1E10	0.21740938810451	1.6574627119156E-09	1.67886297097866E-12	8.75742375339015E-02	9.30602119081344E-11	1.36096272462766E-11	4.82010051169199	1.33853569843035E-12	4.50568695547364E-10	298.669017590653	2.82980110639858E-12	1.45442823748373E-10	106.129018816499	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
10	1.2E-11	1E10	1E10	1E-30	6.86476016946641E-11	1E10	1E-30	1E10	0.294529257967689	5.21849974247104E-09	1E10	14.9238964204322	1E-30	1.59833897094195E-11	0.726444051289562	1.14464500018212E-11	5.04275209024138E-11	14.8719356450623	8.4225073206845E-13	4.54028375475467E-10	206.003657520242	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
11	1.2E-11	1E10	1E10	1E-30	6.86476016946641E-11	1E10	1E-30	1E10	0.294529257967689	5.21849974247104E-09	1E10	14.9238964204322	1E-30	1.59833897094195E-11	0.726444051289562	1.14464500018212E-11	5.04275209024138E-11	14.8719356450623	8.4225073206845E-13	4.54028375475467E-10	206.003657520242	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
12	1.2E-11	1E10	1E10	1E-30	6.86476016946641E-11	1E10	1E-30	1E10	0.294529257967689	5.21849974247104E-09	1E10	14.9238964204322	1E-30	1.59833897094195E-11	0.726444051289562	1.14464500018212E-11	5.04275209024138E-11	14.8719356450623	8.4225073206845E-13	4.54028375475467E-10	206.003657520242	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
13	1.5E-11	1E10	1E10	1E-30	4.53019545190005E-12	1E10	1E-30	1E10	0.202879738522259	2.45156700027039E-09	1.10921376502817E-12	0.112817472242917	1.40852330515414E-10	1.18534898043812E-11	3.65642015755623	4.68079375829388E-12	1.57561665353706E-10	59.5923035447406	1.0040513214182E-12	4.09913571927319E-10	463.269969735164	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
14	1.5E-11	1E10	1E10	1E-30	4.53019545190005E-12	1E10	1E-30	1E10	0.202879738522259	2.45156700027039E-09	1.10921376502817E-12	0.112817472242917	1.40852330515414E-10	1.18534898043812E-11	3.65642015755623	4.68079375829388E-12	1.57561665353706E-10	59.5923035447406	1.0040513214182E-12	4.09913571927319E-10	463.269969735164	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
15	1.5E-11	1E10	1E10	1E-30	4.53019545190005E-12	1E10	1E-30	1E10	0.202879738522259	2.45156700027039E-09	1.10921376502817E-12	0.112817472242917	1.40852330515414E-10	1.18534898043812E-11	3.65642015755623	4.68079375829388E-12	1.57561665353706E-10	59.5923035447406	1.0040513214182E-12	4.09913571927319E-10	463.269969735164	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
16	1.5E-11	1E10	1E10	1E-30	1.32605521563122E-10	1E10	1E-30	1E10	0.250190209961243	3.57455402294841E-10	1E10	38.7441401916599	3.12279749719782E-11	3.29456071531891E-11	8.92028126819858	8.86180153365783E-12	8.77445031769148E-11	15.052330231995	2.89107882221248E-12	2.14153960219407E-10	74.3914481850906	4.23695975147178E-12	9.567124092465E-11	37.5145252143276	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
17	1.5E-11	1E10	1E10	1E-30	1.32605521563122E-10	1E10	1E-30	1E10	0.250190209961243	3.57455402294841E-10	1E10	38.7441401916599	3.12279749719782E-11	3.29456071531891E-11	8.92028126819858	8.86180153365783E-12	8.77445031769148E-11	15.052330231995	2.89107882221248E-12	2.14153960219407E-10	74.3914481850906	4.23695975147178E-12	9.567124092465E-11	37.5145252143276	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
18	1.5E-11	1E10	1E10	1E-30	1.32605521563122E-10	1E10	1E-30	1E10	0.250190209961243	3.57455402294841E-10	1E10	38.7441401916599	3.12279749719782E-11	3.29456071531891E-11	8.92028126819858	8.86180153365783E-12	8.77445031769148E-11	15.052330231995	2.89107882221248E-12	2.14153960219407E-10	74.3914481850906	4.23695975147178E-12	9.567124092465E-11	37.5145252143276	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
19	1.8E-11	1E10	1E10	1E-30	3.11497443836202E-11	1E10	1E-30	1E10	0.214103130252407	1.54683420430588E-09	1.75798534517731E-12	0.178803643748469	2.26649405366927E-10	7.59340873155903E-12	1.8325511037446	4.47012333586607E-12	1.50470222253979E-10	47.3358492778474	8.74492143402543E-13	4.70643752109074E-10	422.507233946554	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
20	1.8E-11	1E10	1E10	1E-30	3.11497443836202E-11	1E10	1E-30	1E10	0.214103130252407	1.54683420430588E-09	1.75798534517731E-12	0.178803643748469	2.26649405366927E-10	7.59340873155903E-12	1.8325511037446	4.47012333586607E-12	1.50470222253979E-10	47.3358492778474	8.74492143402543E-13	4.70643752109074E-10	422.507233946554	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
21	1.8E-11	1E10	1E10	1E-30	3.11497443836202E-11	1E10	1E-30	1E10	0.214103130252407	1.54683420430588E-09	1.75798534517731E-12	0.178803643748469	2.26649405366927E-10	7.59340873155903E-12	1.8325511037446	4.47012333586607E-12	1.50470222253979E-10	47.3358492778474	8.74492143402543E-13	4.70643752109074E-10	422.507233946554	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
22	1.8E-11	1E10	1E10	1E-30	1.0187070134128E-10	1E10	1E-30	1E10	0.24227144050757	2.77990671156372E-06	1E10	106.511786840322	2.08142079474975E-10	5.61986750981521E-12	2.42075113835625	4.09064719038601E-12	1.27851403403369E-10	55.8047207008361	9.28254279073471E-13	3.30605152361359E-10	96.1293474911971	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
23	1.8E-11	1E10	1E10	1E-30	1.0187070134128E-10	1E10	1E-30	1E10	0.24227144050757	2.77990671156372E-06	1E10	106.511786840322	2.08142079474975E-10	5.61986750981521E-12	2.42075113835625	4.09064719038601E-12	1.27851403403369E-10	55.8047207008361	9.28254279073471E-13	3.30605152361359E-10	96.1293474911971	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
24	1.8E-11	1E10	1E10	1E-30	1.0187070134128E-10	1E10	1E-30	1E10	0.24227144050757	2.77990671156372E-06	1E10	106.511786840322	2.08142079474975E-10	5.61986750981521E-12	2.42075113835625	4.09064719038601E-12	1.27851403403369E-10	55.8047207008361	9.28254279073471E-13	3.30605152361359E-10	96.1293474911971	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
25	2.2E-11	1E10	1E10	1E-30	1.07305647872238E-11	1E10	1E-30	1E10	0.211093242456473	2.16448501751582E-10	1.04818219277422E-11	1.39013217239564	1.09728516067621E-11	8.46156241839891E-11	17.9965879612659	8.16123553843603E-13	5.04303866274335E-10	320.504512959465	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
26	2.2E-11	1E10	1E10	1E-30	1.07305647872238E-11	1E10	1E-30	1E10	0.211093242456473	2.16448501751582E-10	1.04818219277422E-11	1.39013217239564	1.09728516067621E-11	8.46156241839891E-11	17.9965879612659	8.16123553843603E-13	5.04303866274335E-10	320.504512959465	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
27	2.2E-11	1E10	1E10	1E-30	1.07305647872238E-11	1E10	1E-30	1E10	0.211093242456473	2.16448501751582E-10	1.04818219277422E-11	1.39013217239564	1.09728516067621E-11	8.46156241839891E-11	17.9965879612659	8.16123553843603E-13	5.04303866274335E-10	320.504512959465	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
28	2.2E-11	1E10	1E10	1E-30	1.62270444568459E-15	1E10	1E-30	1E10	0.217706013520474	3.06333431162363E-09	1E10	4.84432751436286	1.42221252196293E-10	1.1218731941319E-11	2.65040774242651	7.69002090938089E-12	8.58447918933535E-11	26.8308032455426	5.7637356910938E-12	8.1530596942783E-11	10.5219271839725	8.09854992445649E-13	3.77046703443158E-10	471.00009437804	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10	1E10	1E-30	1E-10
